split,model,model_label,horizon,count,mae_mwh,rmse_mwh,mape_pct,smape_pct,bias_mwh,r_squared
validation,recursive_linear_regression,Recursive Linear Regression,24,182,1573.7995747285,1979.6952271508,7.3847558495,7.1100938773,745.8408347902,0.6647822875
validation,recursive_xgboost,Recursive XGBoost,1,182,498.3230382898,630.9546969380,2.4028719040,2.3628228053,292.2862293956,0.9711102742
validation,recursive_xgboost,Recursive XGBoost,2,182,861.7601519574,1088.5054780705,4.0500399620,3.9319770837,607.3721668956,0.9195769045
validation,recursive_xgboost,Recursive XGBoost,3,182,943.0598064045,1167.5634551150,4.0569596249,3.9711516946,472.6727013221,0.9045273675
validation,recursive_xgboost,Recursive XGBoost,4,182,811.1977700034,1051.7158232322,3.1945569672,3.1635547494,236.8078532795,0.9104899747
validation,recursive_xgboost,Recursive XGBoost,5,182,650.6535564045,904.1325104997,2.4083518521,2.4100550796,5.5587332589,0.9107750701
validation,recursive_xgboost,Recursive XGBoost,6,182,621.2053356799,879.0215404126,2.2825129331,2.2947074785,-84.8702352335,0.9004163870
validation,recursive_xgboost,Recursive XGBoost,7,182,585.5634229052,841.4638797615,2.1963660772,2.2128354789,-99.7711624313,0.8999343430
validation,recursive_xgboost,Recursive XGBoost,8,182,474.9451622596,690.0301630985,1.8757504193,1.8874090651,-68.4678914835,0.9125480432
validation,recursive_xgboost,Recursive XGBoost,9,182,476.8039684924,635.0839934211,2.0236087805,2.0219527505,64.4178721669,0.9054364840
validation,recursive_xgboost,Recursive XGBoost,10,182,412.6403781765,538.9465531646,1.8332935791,1.8289015997,109.7692415007,0.9078070240
validation,recursive_xgboost,Recursive XGBoost,11,182,443.8980404361,545.2486512542,2.0560655043,2.0450016564,171.6013800652,0.8738912622
validation,recursive_xgboost,Recursive XGBoost,12,182,459.9451729911,547.7893738220,2.1917946105,2.1743679019,228.4285392342,0.8420642972
validation,recursive_xgboost,Recursive XGBoost,13,182,483.2879035027,578.1343569646,2.3554821050,2.3307950171,266.3399081387,0.7933747843
validation,recursive_xgboost,Recursive XGBoost,14,182,530.5996737637,650.2615279122,2.6043792896,2.5676175991,331.4690934066,0.7123459891
validation,recursive_xgboost,Recursive XGBoost,15,182,567.8659641140,713.1622251935,2.7224377170,2.6832201142,284.2133842720,0.6767383768
validation,recursive_xgboost,Recursive XGBoost,16,182,617.6437156593,815.8856980308,2.8100065552,2.7850430625,124.3687757555,0.7201101847
validation,recursive_xgboost,Recursive XGBoost,17,182,682.6582889766,904.4067623123,2.8712652870,2.8847059631,-196.0139079670,0.7965057240
validation,recursive_xgboost,Recursive XGBoost,18,182,856.8951536745,1140.3284041241,3.4661573807,3.5232757354,-496.7872166896,0.7783643375
validation,recursive_xgboost,Recursive XGBoost,19,182,959.6345509959,1234.9450886931,4.0050670405,4.0494320818,-338.4094265110,0.7840887786
validation,recursive_xgboost,Recursive XGBoost,20,182,1064.7775691106,1409.8952641917,4.5842805920,4.6446845505,-377.1910950378,0.7437294987
validation,recursive_xgboost,Recursive XGBoost,21,182,1181.9593921703,1572.1108042098,5.1819667208,5.2888856092,-454.7314131181,0.6997754070
validation,recursive_xgboost,Recursive XGBoost,22,182,1305.6526817909,1717.7574876611,5.8242617875,5.9239220217,-362.7010162689,0.6828769456
validation,recursive_xgboost,Recursive XGBoost,23,182,1419.3941234547,1810.7549835809,6.3575509472,6.4199479335,-209.5651614011,0.6701717834
validation,recursive_xgboost,Recursive XGBoost,24,182,1498.4634486607,1881.6605195701,6.7264845604,6.7102448973,7.1727335165,0.6971602830
validation,weekly_seasonal_naive,Weekly seasonal naive,1,182,2138.1263736264,2867.8177913904,9.3540298681,9.5084070255,-371.3351648352,0.4031706466
validation,weekly_seasonal_naive,Weekly seasonal naive,2,182,2031.4615384615,2756.6156248735,8.6368220359,8.8003128281,-414.7692307692,0.4842111210
validation,weekly_seasonal_naive,Weekly seasonal naive,3,182,1797.3461538462,2533.3373842025,7.0764804642,7.2282467493,-416.5329670330,0.5505266201
validation,weekly_seasonal_naive,Weekly seasonal naive,4,182,1500.6538461538,2281.0312674002,5.4502165184,5.5910771857,-385.4780219780,0.5789464428
validation,weekly_seasonal_naive,Weekly seasonal naive,5,182,1301.2637362637,1995.8511390459,4.5486676022,4.6628913691,-379.4285714286,0.5652112121
validation,weekly_seasonal_naive,Weekly seasonal naive,6,182,1152.0274725275,1729.1788799604,4.0520708077,4.1389172161,-359.8076923077,0.6146381761
validation,weekly_seasonal_naive,Weekly seasonal naive,7,182,1064.5109890110,1579.1721558469,3.8415541232,3.9175228335,-336.5989010989,0.6475698539
validation,weekly_seasonal_naive,Weekly seasonal naive,8,182,997.3241758242,1429.4443110739,3.8141892721,3.8746421377,-269.0824175824,0.6247092484
validation,weekly_seasonal_naive,Weekly seasonal naive,9,182,905.5164835165,1269.5271378927,3.6931646785,3.7446820543,-221.3846153846,0.6221275275
validation,weekly_seasonal_naive,Weekly seasonal naive,10,182,789.6043956044,1103.5814523532,3.3777299690,3.4194620336,-197.5604395604,0.6134415044
validation,weekly_seasonal_naive,Weekly seasonal naive,11,182,774.9945054945,1053.3741677878,3.4727716903,3.5043407279,-165.7857142857,0.5293248099
validation,weekly_seasonal_naive,Weekly seasonal naive,12,182,771.7802197802,1018.0765693694,3.5716641411,3.6032726563,-151.6813186813,0.4544758325
validation,weekly_seasonal_naive,Weekly seasonal naive,13,182,758.5604395604,993.8588464130,3.5822808251,3.6124120193,-141.6593406593,0.3893741618
validation,weekly_seasonal_naive,Weekly seasonal naive,14,182,745.2032967033,970.4418813381,3.5432920594,3.5701499692,-143.3571428571,0.3593314934
validation,weekly_seasonal_naive,Weekly seasonal naive,15,182,759.3241758242,990.2530395902,3.5440571581,3.5681874187,-151.9615384615,0.3767391395
validation,weekly_seasonal_naive,Weekly seasonal naive,16,182,863.0439560440,1146.9215317536,3.8461159140,3.8757037355,-168.9010989011,0.4469099227
validation,weekly_seasonal_naive,Weekly seasonal naive,17,182,1008.6758241758,1416.9974698885,4.2047755136,4.2559081421,-220.7087912088,0.5004686545
validation,weekly_seasonal_naive,Weekly seasonal naive,18,182,1187.2032967033,1662.8648802263,4.7653419031,4.8439104149,-268.6538461538,0.5287040801
validation,weekly_seasonal_naive,Weekly seasonal naive,19,182,1432.8956043956,1905.1889742156,5.8882879655,5.9757678867,-244.2142857143,0.4861267173
validation,weekly_seasonal_naive,Weekly seasonal naive,20,182,1687.3956043956,2148.4444615572,7.1590990002,7.2318750390,-219.4285714286,0.4049229823
validation,weekly_seasonal_naive,Weekly seasonal naive,21,182,1897.9890109890,2382.0750050471,8.2050688969,8.2755053711,-202.4065934066,0.3107277024
validation,weekly_seasonal_naive,Weekly seasonal naive,22,182,2085.4780219780,2645.1456419322,9.1859775223,9.2485779688,-218.6758241758,0.2480251879
validation,weekly_seasonal_naive,Weekly seasonal naive,23,182,2160.2362637363,2757.5288577092,9.5837362763,9.6567355999,-243.5769230769,0.2350931321
validation,weekly_seasonal_naive,Weekly seasonal naive,24,182,2123.8956043956,2798.2863250823,9.3818090449,9.4714935198,-286.3461538462,0.3302471252
